medicine_name,generic_name,category,stock_quantity,unit_price,manufacturer,expiry_date,description,image_url
Dolo 650,Paracetamol 650mg,Analgesic,250,12.50,Micro Labs,2026-12-31,Fever and pain relief tablet,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400&h=280&fit=crop
Crocin 500,Paracetamol 500mg,Analgesic,180,8.00,GSK,2026-08-31,Fast-acting paracetamol for mild to moderate pain,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400&h=280&fit=crop
Combiflam,Ibuprofen+Paracetamol 400/325mg,Analgesic,220,24.00,Sanofi,2026-12-31,Dual-action pain and fever relief,https://images.unsplash.com/photo-1550572017-edd951b55104?w=400&h=280&fit=crop
Brufen 400,Ibuprofen 400mg,Anti-inflammatory,170,15.00,Abbott,2026-09-30,NSAID for pain and inflammation,https://images.unsplash.com/photo-1550572017-edd951b55104?w=400&h=280&fit=crop
Voveran 50,Diclofenac Sodium 50mg,Anti-inflammatory,8,12.00,Novartis,2026-06-30,Powerful NSAID for joint and muscle pain,https://images.unsplash.com/photo-1550572017-edd951b55104?w=400&h=280&fit=crop
Amoxil 500,Amoxicillin 500mg,Antibiotic,85,45.00,Cipla,2026-06-30,Broad-spectrum penicillin antibiotic,https://images.unsplash.com/photo-1631549916768-4119b2e5f926?w=400&h=280&fit=crop
Azithral 500,Azithromycin 500mg,Antibiotic,60,72.00,Alkem,2026-07-31,Macrolide antibiotic for respiratory infections,https://images.unsplash.com/photo-1631549916768-4119b2e5f926?w=400&h=280&fit=crop
Augmentin 625,Amoxicillin+Clavulanate 625mg,Antibiotic,40,125.00,GSK,2026-05-31,Beta-lactam antibiotic with clavulanate,https://images.unsplash.com/photo-1631549916768-4119b2e5f926?w=400&h=280&fit=crop
Clavam 625,Amoxicillin+Clavulanate 625mg,Antibiotic,55,118.00,Alkem,2026-07-31,Antibiotic for skin and urinary infections,https://images.unsplash.com/photo-1631549916768-4119b2e5f926?w=400&h=280&fit=crop
Cetiriz 10,Cetirizine 10mg,Antihistamine,200,18.00,Cipla,2027-01-31,Second-gen antihistamine for allergy relief,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400&h=280&fit=crop
Allegra 120,Fexofenadine 120mg,Antihistamine,150,48.00,Sanofi,2027-02-28,Non-drowsy antihistamine for allergic rhinitis,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400&h=280&fit=crop
Montair 10,Montelukast 10mg,Antiasthmatic,140,52.00,Cipla,2026-11-30,Leukotriene receptor antagonist for asthma,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400&h=280&fit=crop
Seroflo 250,Fluticasone+Salmeterol 250mcg,Antiasthmatic,30,425.00,Cipla,2026-08-31,Combination inhaler for asthma control,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=400&h=280&fit=crop
Pan 40,Pantoprazole 40mg,Antacid,300,22.00,Alkem,2026-11-30,Proton pump inhibitor for acid reflux,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=400&h=280&fit=crop
Omez 20,Omeprazole 20mg,Antacid,250,15.00,Dr Reddys,2026-10-31,PPI for peptic ulcer and GERD,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=400&h=280&fit=crop
Digene Gel,Aluminium+Magnesium Hydroxide,Antacid,100,85.00,Abbott,2026-11-30,Liquid antacid for heartburn and indigestion,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=400&h=280&fit=crop
Metformin 500,Metformin HCl 500mg,Antidiabetic,180,8.50,Sun Pharma,2026-12-31,First-line oral antidiabetic drug,https://images.unsplash.com/photo-1576671081837-49000212a0b9?w=400&h=280&fit=crop
Glycomet 850,Metformin 850mg,Antidiabetic,120,14.00,USV,2026-09-30,Extended release metformin tablet,https://images.unsplash.com/photo-1576671081837-49000212a0b9?w=400&h=280&fit=crop
Januvia 100,Sitagliptin 100mg,Antidiabetic,45,285.00,MSD,2026-08-31,DPP-4 inhibitor for type 2 diabetes,https://images.unsplash.com/photo-1576671081837-49000212a0b9?w=400&h=280&fit=crop
Amlip 5,Amlodipine 5mg,Antihypertensive,200,18.00,Cipla,2027-01-31,Calcium channel blocker for hypertension,https://images.unsplash.com/photo-1632833239869-a37e3a5806d2?w=400&h=280&fit=crop
Telma 40,Telmisartan 40mg,Antihypertensive,160,42.00,Glenmark,2026-11-30,ARB for hypertension and heart failure,https://images.unsplash.com/photo-1632833239869-a37e3a5806d2?w=400&h=280&fit=crop
Stamlo 10,Amlodipine 10mg,Antihypertensive,6,28.00,Sun Pharma,2026-10-31,Calcium channel blocker higher dose,https://images.unsplash.com/photo-1632833239869-a37e3a5806d2?w=400&h=280&fit=crop
Atorva 10,Atorvastatin 10mg,Cholesterol,190,35.00,Zydus,2027-02-28,Statin for lowering LDL cholesterol,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400&h=280&fit=crop
Crestor 10,Rosuvastatin 10mg,Cholesterol,95,85.00,AstraZeneca,2026-12-31,High-potency statin for cholesterol,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400&h=280&fit=crop
Ecosprin 75,Aspirin 75mg,Antiplatelet,300,8.00,USV,2027-03-31,Low-dose aspirin for cardiac prevention,https://images.unsplash.com/photo-1550572017-edd951b55104?w=400&h=280&fit=crop
Becosules,Vitamin B-Complex,Vitamin/Supplement,400,18.00,Pfizer,2027-06-30,Complete B-complex vitamin supplement,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400&h=280&fit=crop
Vitamin D3 60K,Cholecalciferol 60000IU,Vitamin/Supplement,200,35.00,Sun Pharma,2027-01-31,Weekly vitamin D supplement capsule,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400&h=280&fit=crop
Neurobion Forte,Vitamin B1+B6+B12,Vitamin/Supplement,280,22.00,P&G,2027-04-30,Neurological vitamin supplement,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400&h=280&fit=crop
Liv 52,Herbal Liver Tonic,Hepatoprotective,160,185.00,Himalaya,2027-05-31,Ayurvedic liver protection syrup,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=400&h=280&fit=crop
Septran DS,Sulfamethoxazole+Trimethoprim,Antibiotic,4,24.00,Abbott,2025-12-31,Sulfonamide antibiotic combination,https://images.unsplash.com/photo-1631549916768-4119b2e5f926?w=400&h=280&fit=crop
npm run build 2>&1